tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Tipo,Conflict
Não existe aborto seguro! #AbortoNao,"Gente, como assim #AbortoSIM e #AbortoNão? Quem decide isso é a gestante! Se ela decidir abortar, tudo bem, se ela decidir dar a luz a criança, tudo bem também, é tudo uma decisão dela! Só minha opinião :3",0,0.1388498842716217,0.8611501455307007,Random,
#AbortoNAO Isso é assassinato do ser mais indefeso que existe!!!,"OUTRA COISA, AS ÚNICAS MULHERES QUE NÃO TEM DIREITO A UM ABORTO SEGURO SÃO AS DE CLASSES MAIS BAIXAS.  #AbortoNao",0,0.8691296577453613,0.1308703422546386,Random,
Vamos levantar esse # mulherada!! A live do Revela está ganhando  #AbortoSim,Aborto é assassinato.  Simples assim.   #AbortoNao,0,0.1862906068563461,0.8137093782424927,Random,
"#AbortoNao quando se trata de calamidade pública tem q haver medidas a favor do aborto,nem os orfanatos estão  capazes de cuidar. Famílias  com 10 criança que ñ tem como cuidar acabam  caindo numa vida sem sentido então  optem por fazerem aborto á quem quiser.","Nem sei a razão pela qual a tag está nos trend topics, mas vou ajudar: #AbortoNao",0,0.9523333311080932,0.0476666763424873,Random,
"Uma criança que vai nascer, por exemplo, de uma usuária de droga, em uma familia desestruturada, é melhor mesmo nem vir ao mundo. Só quem sabe o q é ser rejeitado pela familia sabe como é. #AbortoSim #AbortoNão","Mas pensem bem: se liberar o aborto, n vai haver o medo de engravidar, logo ""camisinha n sera necessário, né""? (É só um exemplo) Ja pararam para pensar q isso pode aumentar o numero de casos de IST's? #AbortoSim #AbortoNão",1,0.489565372467041,0.510434627532959,Incerta,
"Não é um bebê, é um FETO! Já passou da hora da descriminalização! #AbortoSim  #AbortoNão ? Não aborte e cuide da sua vida.",Aborto bom é aborto assim. #AbortoSim,0,0.5890032052993774,0.4109968543052673,Incerta,
#AbortoNao Se aprovarem a justiça de Deus virá sobre essa corte anotem...,"#AbortoSim  Vc que for contra, quais seus motivos? Tente mudar meu pensamento. #AbortoNao",0,0.4876040518283844,0.512395977973938,Incerta,
#AbortoSIM Primeiro assista ao documentário.,Reflita sobre as consequências para sua consciência  #AbortoNao,0,0.5881729125976562,0.4118270874023437,Incerta,
"#AbortoSim ""feto só se transforma numa pessoa quando começa a produzir ondas cerebrais semelhantes às de um ser humano “pronto” – 8ª semana para uns, 20ª para outros. E, por fim, há os que apontam para a 24ª semana de gestação, quando os pulmões do feto já estão formados.""","""Mesmo depois das 24 semanas o feto está sedado naturalmente e não tem consciência devido ao ambiente no interior do útero, defende o documento. ... É esta parte do cérebro que nos torna capazes de ter consciência e experimentar a dor."" #AbortoSim",1,0.4870509207248688,0.5129490494728088,Incerta,
Esse anta contribuiu p merdas acontecerem e agora fica fazendo perguntas dando uma de João sem braço. É babaca mesmo!!!  #AbortoNAO,"#AbortoNao Não quer engravidar??? Simples, use contraceptivo. Na hora de ""dar"" não pensa nas consequências!",0,0.4909915626049042,0.5090084075927734,Incerta,
"Eu só sou a favor do aborto em determinados caso, tipo nos que a mulher quer abortar #AbortoNao","#AbortoNao  será que ninguém percebe que o aborto é sim importante?? o aborto em qualquer caso precisa ser liberado, na minha opinião o que é errado é o ""abuso"" do aborto e tbm a falta de prevenção.",0,0.5007615685462952,0.4992384016513824,Incerta,
