tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Conflict_Caio,Conflict_Victor
"Mano eu sinceramente fico decepcionada que anos se passam e as pessoas continuam usam umas justificativas completamente sem fundamento, sendo a favor da vida mas quer pena de morte (???)+ #AbortoSim","Tá bom macho hetero, o aborto é escolha sua né que já tem 3 filho espalhado por aí e a mãe sustenta e cria sozinha! #AbortoSim",0,0.0437225513160228,0.9562774300575256,0,0
E tem homem comentando nas tags porque? Vcs tem útero? #AbortoNão #AbortoSim,Útero eu não tenho mas eu tenho uma vida graças a Deus e vcs q se dizem defensora das mulheres pq vcs não defendem o Direito de Viver da Mulher que está dentro da Mulher  #AbortoNao,1,0.0441616401076316,0.95583838224411,1,1
Já que todo mundo tá falando sobre isso...Eu sou a favor do aborto somente em caso de estupro! Já vi histórias de mulheres que abortaram somente pq ficaram sabendo que a criança tinha síndrome de down  Então sou contra o aborto não só pé isso mais por vários motivos #AbortoNAO,você eh a favor da vida ou do nascimento???? pois é #AbortoSim,0,0.0445183664560318,0.9554816484451294,0,0
"“Se somos escravos do ontem, somos donos de nosso amanhã.”  #AbortoNao","o engraçado é que quando você entra no “aborto não” só tem macho escroto, querendo colocar o dedinho aonde não foi chamado. nos poupe de tanta merda. #AbortoSim",0,0.0452115572988987,0.9547884464263916,1,0
"Vamos ser coerentes, não faz sentido tirar a vida de uma pessoa que não cometeu crime algum (feto) quando o mesmo não ocorre com alguém que cometeu barbáries (assassinos, estupradores, etc). #AbortoNao","#AbortoSim  Mas quanta pretensão  Vocês nem sabem se vão sobreviver ao COVID-19, quiçá engravidar pra depois abortar  Faz-me tires baldes",0,0.0453753769397735,0.954624593257904,1,0
Sou a favor do aborto em todos os casos. #AbortoSIM,"Enquanto você grita fica em casa,  em quarentena para ""salvar vidas""... ""Toda vida importa para mim""... menos a de bebês no ventre materno.  Isso não te torna menos criminosa que um assassino ou um estuprador. #AbortoNAO",1,0.0464476607739925,0.9535523653030396,1,1
#AbortoNao Bando de vagabundas e feministos,"O estado tem q parar de se meter na vida privada das pessoas e se preocupar mais com suas funções primordiais como segurança e educação.  Meu corpo, minhas regras #AbortoSim",0,0.0465957932174205,0.953404188156128,1,1
"Sem condições e acaba abandonando na rua, você acha isso justo? Com uma criança? passar fome e frio enquanto isso poderia ser evitado? Bem no início da gravidez. Sem dor. Sem nada. #AbortoSIM #AbortoLegalYgratuito","Então vc acha q a fome, o frio, a pobreza se resolve no início da gravidez, evitando prosseguir com a gravidez? Eu nunca vou achar justo a desigualdade social, mas isso ñ é motivo p eu ser a favor do aborto, seja ele em qualquer etapa da gravidez. #AbortoNao",1,0.0478037856519222,0.95219624042511,1,0
"Sim é o meu corpo, sim é a minha escolha. Independentemente da situação. Há imensas coisas que podem acontecer desde violação até à falta de proteção. Para mim a mulher decide.   #AbortoSim","Concordo e respeito que seja a tua escolha, mas abortar por falta de proteção não é uma razão válida, apartir do momento em que os centros de saúde ta dão, senão queres usar, porque não é o mesmo, ou se tens vergonha por alguma razão de ir pedir, não devia sequer ter relações",2,0.0484376400709152,0.9515623450279236,1,1
"Nenhuma sociedade civilizada permite que um ser humano intencionalmente prejudique ou tire a vida de outro sem punição. O aborto não é uma forma de contracepção, mas assassinato. Quem defende essa monstruosidade está fazendo apologia e deve responder criminalmente. #AbortoNao!",Não existe aborto em sociedade civilizada? E os Estados Unidos que vocês tanto babam ovo é o que? Legalização do aborto não é assassinato é questão de saúde pública!!!,2,0.0487192496657371,0.9512807726860046,1,1
"(  ) Metodos contraceptivos (  ) Mandar para adoção (X) Assassinar a Criança  A pessoa tem todas as chances de seguir a vida sem culpa mas prefere assassinar uma criatura indefesa.   Depois vem falar de amor, empatia, bla bla bla   #AbortoNao",mds eu n tô lendo isso #AbortoSim,1,0.0499754734337329,0.9500244855880736,1,1
Aborto não é Método Contraceptivo!!!#AbortoNao,"O aborto deveria ser considerado até os primeiros 80 anos do feto, ou se a mãe não quiser manter um ser crescendo dentro dela  #AbortoSim",0,0.0519570596516132,0.948042929172516,1,1
Melhor não ter um filho Que uma gravidez indesejável  Aborto não é assassinato   #AbortoSim,"Não temos útero? Beleza, mas não é você que está sendo gerado esperando para vir ao mundo. Não é seu corpo, é o corpo do bebê. Então, cala a boca!  #AbortoNao",0,0.0520892441272735,0.947910726070404,1,1
"ENTENDAM vc ser contra o aborto, não vai fazer com que ele não exista! só vai fazer com que mulheres pobres e negras continuem abortando e morrendo  #AbortoSim","#AbortoNao   Feto não é propriedade da mulher, feto é a formação de um ser humano,  criado pela união de dois materiais genéticos, logo o pai tem tanto direito sobre o feto quanto a mãe. Essa tentativa escrota de tirar homens do debate sobre aborto é coisa de feministas malucas.",0,0.0526869185268878,0.9473130702972412,1,1
#AbortoNao #abortonao se não quiser gerar uma vida usa os meios contraceptivos e não o aborto para tirá-la. Obs: sou mulher,o corpo é da mulher e ela faz o q quiser com ele #AbortoSim,0,0.0538713671267032,0.9461286067962646,1,1
"#AbortoNao, se previnam, ou agem irracionalmente quando o assunto é sexo!","Se você entende de classe ontólógica, e a relação entre ato e potência na metafísica aristotélica você sabe que aborto é uma agressão a liberdade, e se existe excessão à regra, não existe regra.   Agora, se você NÃO entende sobre esses assuntos, não opina sobre aborto  #AbortoNAO",0,0.0545895285904407,0.945410430431366,0,0
"Quer dizer que na hora de abortar o homem não pode opiniar,  mas assim que decidem que vão ter o bebê correm para justiça e exigem reconhecimento dos seus ""DIREITOS"" e ""DEVERE$$$"", não abrem mão dinheiro na conta.#AbortoSim","Mds gente, o que rolou que a #AbortoNao está em 1 lugar no tt??????????",0,0.0557464063167572,0.9442535638809204,0,0
"Que decepcionante acordar e ver a tag #AbortoNao. Primeiro que o corpo é da mulher e ela tem sim, DIREITO e mesmo que fosse um homem ele também teria. Nem todos tem condição de cuidar de um filho. E fala sério, o feto NÃO SENTE NADA. Já foi comprovado isso.","Se o corpo é seu, cuide dele, pra não ter que cuidar do corpo de outro !!! #AbortoNao",1,0.0565306656062603,0.9434694051742554,1,1
#AbortoNao pela vida e para vida,n sei pq tão discutindo isso porém #AbortoSim,0,0.056635558605194,0.943364441394806,1,0
A Sociedade condena a mulher que NÃO  quer ter  um filho e apoia o homem que mesmo tendo escolhe NÃO  ser PAI.#AbortoSim,"A galera a favor da quarentena sem fim está muito preocupada com a vida, chamam Bolsonaro de Genocida e assassino, mas são a favor do aborto. Afinal são a favor ou contra a vida!? #AbortoNAO",0,0.0570175349712371,0.9429824948310852,1,1
Basta de tanto sofrimento.  #AbortoNAO,"A partir do momento que várias mulheres morrem por querer fazer algo que não se sente a vontade ou preparada, a legalização se faz extremamente necessária, além disso não é lugar de fala de homem ou religião, até porque quem vai gerar e parir é a mulher #AbortoSim",0,0.0573720708489418,0.9426279067993164,1,0
"#AbortoSim #AbortoNao Pena de morte para abortistas! Um crime tão bárbaro, o de assassinar uma vida humana sem nenhum direito de defesa, só pode ter uma pena justa se quem o fez pagar com a vida.","que vida? feto não é criança, entenda, #abortosim",1,0.0573724992573261,0.942627489566803,1,1
Fatos sobre o aborto no Brasil e no mundo que todos deveriam saber antes de entrar em uma discussão.  [A thread]  #AbortoSim,na sua opinião a cabeça de alguém que aborta vai continuar de boa após o ato?  #AbortoNao,2,0.0583153888583183,0.9416845440864564,1,0
Apoio em 95% dos casos.   #AbortoSim,"Jesus Volta logo, que porra de país  é  esse?  Nojo Nojo Nojo Nojo... O que diz o PAPA esquerdista?  #AbortoNao",0,0.058791909366846,0.9412080645561218,1,1
"#AbortoNao não usam camisinha porque o macho não gosta, mas tem outros métodos, anticoncepcional, pílula do dia seguinte, Diu, e uma pitada de vergonha na cara.","Nada ou quase nada muda na vida de um homem quando ele tem um filho. Absolutamente tudo muda na vida das mulheres. Se um homem pode abandonar uma criança antes mesmo do nascimento, uma mulher tem o direito de abortar. #AbortoSim",0,0.0602031461894512,0.9397968649864196,1,1
"Todo mundo que apoiava a escravidão era livre, todo mundo que apoia o aborto já nasceu.   Falam em ""aborto seguro"". Pergunto, para quem? Afinal, o bebê sempre morre. #AbortoNao","Que comparação bosta. Um feto nem sente nada pra começo de conversa, um escravo já era uma vida formada e com emoções, já um feto (????) Sentido 0 E as milhares de mulheres que engravidam e morrem em clínicas clandestinas? Nelas tu não pensa e sim em um embrião que nem vida tem.",2,0.064651682972908,0.9353483319282532,1,1
"#AbortoNunca ninguém é obrigado a seguir o seu código moral. Legalizar o aborto não significa todo mundo abortar, significa menos mulheres mortas. #AbortoSim","Que coisa escrota é essa de abortosim e abortonao? A mulher q consegue fazer um também n é ""a favor"", mas cabe a ela (exclusivamente) decidir a sua necessidade!",0,0.0649562776088714,0.9350436925888062,0,0
O lugar onde a criança deveria ter a maior proteção do mundo está virando o lugar onde ela sofre mais atentados contra a propria vida  #AbortoNao,Ela não sente nada porra  #AbortoSim,1,0.0656321421265602,0.9343678951263428,1,1
#AbortoSIM e se você discorda fodase,Todos que são a favor do aborto já nasceram. Não mate uma uma pessoinha indefesa. #AbortoNao,0,0.0660354271531105,0.9339645504951476,1,1
As mesmas pessoas que defendem #AbortoNao são aquelas que são contra educação sexual nas escolas levando(as crianças e adolescentes) a ter DST e gravidez na adolescência resultando no aborto do feto  A hipocrisia e a ignorância desse povo é de cair o c# da bunda,"Como hipocrisia? Não somos contra educação sexual, somos contra a erotização de nossas crianças e ideologia de gênero. Não confunda as coisas. Gente burra",2,0.0666816309094429,0.9333184361457824,1,1
"Me surpreendendo com as pessoas brigando aqui no twitter pelo direito de matar, subindo tag com apoio ao aborto. NÃO VENHA FALAR AQUI QUE É QUESTÃO DE SAÚDE DA MULHER QUE NÃÃO ÉÉ.  #AbortoNao #AbortoNao","Como é feito o assassinato de bebês que você defende: #AbortoNao  1- Por Sucção  Insere-se no útero um tubo oco que tem uma ponta afiada. Despedaça o corpo do bebê que está se desenvolvendo, assim como a placenta e absorve ""o produto da gravidez""(bebê),depositando-o  em um balde+",0,0.0671224668622016,0.932877480983734,0,0
Ser favor da legalização do  aborto não significa querer abortar e sim entender que cada mulher faz oq julga melhor para seu próprio corpo e entender que se no seu corpo manda Deus no meu mando eu  #AbortoSim,ISSO NAO FAZ SENTIDOO #abortonao,1,0.0672171041369438,0.9327828884124756,1,1
"Quem defende aborto não trm alma, está morto por dentro. #AbortoNao",Quarentena dia 63: tentei fazer uma esculturinha com sabonete em barra  Pra primeira vez acho que ficou até bom  (#AbortoSim a decisão deve ser da mulher e deve-se ter a segurança pra fazer isso sem riscos),0,0.0690508335828781,0.9309491515159608,1,1
#abortonão #abortosim  onde que aborto é assassinato sendo que é só um monte de células até os três meses?,"#AbortoNão #abortosim  e gente, a questão não é o aborto, é sobre saber que vc tem o poder de escolha sobre seu corpo",1,0.070058561861515,0.9299414157867432,0,0
"não existe um único motivo plausível que justifique o fato do aborto não ser permitido um só, nem que seja religioso, não tem ou seja: #AbortoSIM","Quer decidir sobre o seu corpo? Se previna e crie suas regras! Surgiu outra vida? Perdeu a autonomia. Outro corpo, outras regras! #AbortoNao",0,0.0714029520750045,0.928597092628479,1,1
"É mesmo né, útero pra quê? A gente pode tirar a criança e deixar crescer num tubo de ensaio já que o útero é da mulher e ela que decide se ela quer ou não o filho #AbortoSim",Mentalidade genocida. Coisificação - a desumanização do feto é uma das etapas previstas no observatório do genocídio no mundo...   #AbortoNao,1,0.0716843232512474,0.9283156991004944,1,1
"Não me venham com essa #AbortoNao, não é o estado quem diz o que a mulher deve fazer com seu próprio corpo, ela que deve ter o poder de decisão! #AbortoSim","Homem PODE e DEVE opinar sobre o aborto, porque os bebês não foram feitos com os dedos, amado! #AbortoNao",2,0.0718902349472045,0.9281097650527954,1,1
não acredito que ainda tenho que ficar lendo essas coisas...  será que nunca as mulheres vão ser respeitadas como merecem???? #AbortoSIM,voltaremos no tempo ai pediremos para a MIMOSA que te colocou no mundo pelo cooooooool assassinar vc sua peluda dos infernos. #AbortoNAO,1,0.0759994834661483,0.9240005016326904,1,1
hoje tá foda viu essas # de monarquiaja e abortonao são p testar nossa paciência,Eu olhando o perfil dos acéfalos que levantam uma # dessa . A maioria vagabundos que querem se aproveita de leis para aliviar o lado deles de engravidar em meio a orgias e baile funk #AbortoSim,0,0.0762960687279701,0.923703908920288,-1,0
Direito à vida #AbortoNao,não podia ir dormir sem tentar subir essa # #AbortoSim,0,0.076553076505661,0.9234468936920166,1,0
#AbortoNao esquerdistas assassinos,"Pra mim, pode abortar até o 9° mês de gravidez. Se é vida ou não, acho q a discussão não importa, o bagulho da morte n é nem a dor e sim as coisas de valor sentimental q vc perde q é bad e no caso do bebê não tem nenhuma. #AbortoSim #AbortoNao",0,0.0766312032938003,0.9233688116073608,1,1
"se vc não quer abortar não aborte, vc n é obrigada a abortar só pq é legalizado, mulheres q não querem ter o filho vão abortar sendo legalizado ou não, a legalização só faz com q elas tenham o aborto com mais SEGURANÇA. Não imponha sua opinião sobre o país todo. #AbortoNao",Quem tem que ser contra ou a favor do aborto é quem vai engravidar. E o presidente legalizando ou não as pessoas vão continuar fazendo #AbortoSim,0,0.0769981071352958,0.9230019450187684,0,0
NO MEU GOVERNO O ABORTO NAO VAI SER LEGALIZADO   VAI SER OBRIGATORIO #ABORTOSIM,Pessoa que defende aborto é lixo total. #AbortoNao,0,0.0779036730527877,0.922096312046051,1,1
#abortoNAO só Deus tem direito de tirar a vida aborto nunca,N sei oq aconteceu mas só concordo #AbortoSim,0,0.0783231407403945,0.9216768741607666,1,1
"Pensa gente... se sua mãe tivesse abortado, vc não estaria sendo a favor. Seria estar mais feliz c sua vida. #AbortoNao",Escreve direito. #AbortoSim,1,0.0795263946056366,0.920473575592041,1,1
"da vida dessa menina que quando chegar em casa olhas para o bb e lembrar da atrocidade q fez ele existir,fetos não tem consciência #AbortoSim","Entendo e sinto pela garota, mas não resolvemos um crime cometendo outro #AbortoNao",1,0.0805274173617363,0.919472634792328,1,0
"Quardar o pau e fechar as pernas também ajuda, mas... #AbortoSim","Só tem macho nessa #AbortoNao , omeee se aquietem, vão procurar oq fazer.  ATÉ NO CORPO DA MULHER VCS QUEREM MANDAR?",0,0.0806853324174881,0.9193146228790284,0,-1
"Aborto é ASSASSINATO não tem o que discutir, não é o seu corpo, não são suas regras, não é a sua vida, quem defende aborto está defendendo genocídio e é tão psicopata quanto Hitler, Mao e Stalin, aborto é a pior arma de destruição em massa que o ser humano inventou. #AbortoNao","Uma mulher abortista, poderia ter sido abortada. Ou seja, assassinada.  E não faria essa campanha que é crime contra a vida. A arte de se colocar no lugar. #AbortoNao Obs: nos casos já previstos de alto risco de morte no parto, ou crime de estupro, sou a favor.",0,0.0813451558351516,0.9186547994613647,1,0
Se não é pra abordar não é pra bater punheta também. Espermatozoide tem reacoes naturais de sobrevivencia sendo assim é uma vida também. #AbortoNao,"Sou contra o aborto, mas a favor da mulher poder escolher!!!!!#AbortoSim",0,0.0823867470026016,0.9176133275032043,0,0
"Nenhuma sociedade civilizada permite que um ser humano intencionalmente prejudique ou tire a vida de outro sem punição. O aborto não é uma forma de contracepção, mas assassinato. Quem defende essa monstruosidade está fazendo apologia e deve responder criminalmente. #AbortoNao!","Essa mulherada fica dando pra qualquer um, não se cuida (detalhe: o Governo DÁ camisinhas) e depois quer assassinar um bebê. Se elas morrem tentando um aborto é mais do que merecido. Não trepem que não engravidam #AbortoNao",1,0.0828204825520515,0.9171794652938844,0,0
Eu tenho 2 motivos de ser a favor do aborto. 1. Tem mulheres q engravidam e n tem como sustentar a criança. Sério q vcs preferem vê a criança passando fome e n tendo uma boa qualidade de vida???? 2. Tem mulher q é violentada e esse n é um filho q vai trazer (+)  #AbortoNao,Criminalizar o aborto fere os direitos humanos. Quem disse? A ONU! #AbortoSim,0,0.0839527994394302,0.916047215461731,0,0
"Um bando de filha da puta falando sem útero, sem opinião...FIZERAM O FILHO COM O DEDO CARALHO? O corpo é seu mas o bebê não faz parte do seu corpo. não é um órgão que você remove quando quer. É uma vida feita por um homem e uma mulher suas cretinas. #AbortoNao","Em crise social, uns sendo presos e espancadas por querer fazer uma caminhada, condenados sendo soltos, e o STF quer aprovar isso? Essa ocisão não é nada propicia para essa decisão.  #AbortoNao",0,0.0857865810394287,0.9142133593559264,0,0
Acho que vai esfriar bastante amanhã #AbortoNao,"ninguém é a favor do ato de abortar, estamos falando de LEGALIZAÇÃO, para que as mulheres tenham segurança e não corram riscos no processo. e disso nós somos a favor. #abortosim",0,0.0859599262475967,0.9140400290489196,0,0
#AbortoNao E SE FOSSE VOCÊ CONTANDO OS MINUTOS PARA SER ESQUARTEJADO(A) NA BOLSA GESTACIONAL ?,"#AbortoNunca ENTENDAM quando a pessoa é #AbortoSim Não quer dizer que fará um aborto, só quer que tenha clínica especializada para que pessoas sem condição não tenha um filho.",0,0.0861352235078811,0.91386479139328,1,1
Educação sexual para decidir! Contraceptivos para não abortar! Aborto legal e gratuito para não morrer!  #AbortoSim #NenhumaAmenos #NiUnaAMenos,"Enquanto você grita fica em casa,  em quarentena para ""salvar vidas""... ""Toda vida importa""...para você  menos a de bebês no ventre materno.  E outra você não tem ventre, aqui não é seu lugar de fala, assassino de bebês.  #AbortoNao",1,0.0869814455509185,0.913018524646759,1,1
"É sobre as mulheres terem escolha. Se uma gestante com feto com zika vírus quiser seguir adiante com a gravidez, ela tem td o direito. Se ela quiser interromper a gravidez, ela deve ter td o direito tb. Simples! #AbortoSim","Na boa, a mulher tem que ter o direito de escolher se vai parir um feto inviável ou não. É FETO INVIÁVEL, não é uma criancinha bonitinha que vai sobreviver, pô. #AbortoSim",2,0.0873768404126167,0.9126232266426086,0,0
Kkkkkkkkkkkkkkkkkklll um homem desse tem que no minimo tomar uns 50 tiro no meio do cu pra aprender a virar gente,Que bom que a carapuça serviu para vc...se uma vadia faz isso ela tem que ter seu clitóris extirpado,1,0.0885454788804054,0.9114544987678528,1,1
meu deus #abortonao e #monarquiaja nos tt corona por favor leve todos,"Lógico que esse número deve ser bem maior em 2020 né, mas homem só se preocupe em não matar o NEMNEM #AbortoSIM #AbortoNão",0,0.0927506312727928,0.9072493314743042,0,0
"É assassinato sim! Quem faz, que pese na consciência pelo resto da vida. Nunca terá paz interior.  É assassinato sim! #AbortoNao","terá paz, sim. não abortar quando há essa vontade, é crueldade, se você não quer a criança, não irá a amar, cuidar e tratar ela como ela precisa. posso dizer que não ter o amor da própria mãe, é uma das coisas mais horríveis que uma criança pode passar. #AbortoSim",1,0.0935326591134071,0.9064673185348512,1,1
não acredito que ainda tenho que ficar lendo essas coisas...  será que nunca as mulheres vão ser respeitadas como merecem???? #AbortoSIM,"Muito surreal ver o pessoal da TAG #AbortoNao querendo decidir como a mulher tem que lhe dar com o próprio corpo...  -Sem útero, sem opinião  #AbortoSim",1,0.093607373535633,0.9063925743103028,0,0
Ser favor da legalização do  aborto não significa querer abortar e sim entender que cada mulher faz oq julga melhor para seu próprio corpo e entender que se no seu corpo manda Deus no meu mando eu  #AbortoSim,Simm... sou a favor mas nunca faria um aborto,2,0.0944534391164779,0.9055466055870056,0,0
Sou a favor. #AbortoSim,Pena que tua mãe foi contra aborto.,2,0.0969336852431297,0.9030662775039672,1,1
"Aproveitando a tag #AbortoNao, gostaria d estatar q eu saía c um cara q era contra o aborto e condenava mulheres q ja abortaram, ms ele só transava sem camisinha KKKKKKK ainda bem q pulei fora e n fiz nada c esse mongol","Não é tão difícil de entender que o aborto já existe.. é uma realidade! A legalização só vai evitar que mulheres, em sua grande maioria pobres, morram em clínicas clandestinas.. #AbortoSim",0,0.1001468822360038,0.8998531103134155,0,0
"Só pra lembar que 5,5 milhões de crianças no Brasil não tem o nome do pai no registro, mas nem por isso abandono paterno é considerado crime   #AbortoNao #AbortoSim","@ Solução pra você é matar esses 5,5 milhões? #AbortoNao",1,0.1009418740868568,0.8990581631660461,1,1
"“Ah, mas ele já me ama, tem sentimentos”  Tudo bem você pensar assim. Não tem nenhum problema. Mas ele precisa de um cérebro para ter os sentimentos, para amar você e saber o que está acontecendo. É o cérebro que comanda tudo #AbortoSIM",Se você não quiser abortar e seguir com sua gestão até o final você tem total liberdade para isso. Assim como uma mulher que não quer gerar uma criança dentro dela deveria ter o direito de interromper essa gestação #AbortoSIM (obs: no prazo em que o feto não sente nada),1,0.1027777120471,0.8972223401069641,0,0
Não normalize a ignorância!!  Não acha aborto certo? Não aborte. Não impeça outra pessoa de realizar de forma segura. #AbortoSim,Gente que tá defendendo #AbortoNao  por favor não usem o argumento do estupro (como única condição para o aborto). Eu acho horrível acharem que para a mulher ter direito de opinar sobre o próprio corpo ele tenha que ter sido violado antes.   #AbortoSIM,0,0.1029518991708755,0.8970481157302856,0,0
"O que deve ser defendido é o acompanhamento psicológico da mulher após o estupro, para ela ter ciência e consciência do que fazer. Não é culpa da criança a situação na qual é concebida, ela não deve ser punida.  #AbortoNao",Antes desse tema ser tratado deveriam criar uma lei rígida para pais irresponsáveis que não assume seus filhos e deixam mães sozinhas com tamanha responsabilidade...#AbortoSim,0,0.1069203093647956,0.8930796384811401,0,0
#AbortoNao  Aborto deveria ser caracterizado com crime doloso qualificado.,"Em relação a esse tema, eu sempre parto da premissa de que: o aborto é uma questão de direitos sexuais e reprodutivos – Todas as pessoas têm o direito de decidir sobre seu corpo, sua liberdade e seu futuro. #AbortoSIM",0,0.1069704592227935,0.8930295705795288,1,1
"O problema não é o aborto,pois existem vários casos como gravidez de risco etc... o problema são homens e mulheres irresponsáveis que fazem sexo sem pensar nas consequências,como a gravidez,então como dito o problema são vcs #AbortoNao",Que não pensam se poderão dar uma vida digna tanto para a criança como para vcs mesmo #AbortoNao,1,0.1086805462837219,0.8913193941116333,0,0
"Uma mulher tem o direito de fazer o que ela achar melhor pra ela e não precisa da opinião de ninguém, e para os homens que subiram essa tag, é aquele ditado né, sem útero, sem opinião #AbortoNao","Sem útero, sem opinião",2,0.1115697920322418,0.8884302377700806,0,0
"vim aqui com meu útero (pq é isso que se usa pra opinar aqui) pra dizer que sim, um feto é uma vida, e não eu não fui doutrinada pela igreja pra pensar isso, eu estudei, e não, você não tem o direito de me xingar nos comentários pq eu penso diferente.  #AbortoNao","É que você ter útero e dizer que não faria um aborto é uma escolha e é importante ter liberdade pra escolher, assim como eu, que também tenho útero, gostaria de poder escolher fazer um aborto, caso julgasse necessário.",2,0.1152318492531776,0.8847681283950806,1,1
"Aborto não devia ser nem discutido. O feto nem tem vida antes de 3 meses, e mesmo depois ainda é um bebê que nem nasceu. Pra que fazer a criança e a mãe sofrer? Vai se foder, babaca. #AbortoSim","Homens não têm nem direito de opinar sobre isso, porra. #AbortoSim",1,0.118349090218544,0.8816509246826172,1,0
O aborto deve ser uma escolha única e EXCLUSIVAMENTE da mulher. A legalização do Aborto não significa que você é pro-morte mas sim que não quer mulheres pobres morrendo em clínicas de aborto clandestinas por não ter dinheiro para pagar por clínicas caras  #AbortoSim #AbortoNão,adoro entrar nessa discussão pq sou contra o aborto e a favor da legalização,2,0.119607038795948,0.8803929686546326,0,0
#AbortoSim pq nenhuma criança merece nascer nesse mundo horrível e nenhuma mulher merece ser mãe sem amar a criança,Tudo pela vida! #AbortoNAO,0,0.1203890666365623,0.8796108961105347,1,1
#AbortoSim só vcs darem o cu suas porras,#AbortoSim se não como é que a nossa Pepsi geladinha vai ser adoçada???,0,0.1217331811785698,0.8782668113708496,0,1
Se vc não foi abortado vc não tem ligar de fala  #AbortoSim É burrice,#AbortoNao seus filhos da puta.,0,0.1251343041658401,0.874865710735321,0,0
